Name,Quantity,Cost,Link
XIAO nrf52840 sense,1,$24.05,https://robu.in/product/seeed-studio-xiao-nrf52840-sense-tinyml-tensorflow-lite-imu-microphone-bluetooth5-0/
PCB (from JLCPCB),1,$20.45,https://jlcpcb.com/
1N4148 Diodes,21,$2 (Self-funded),https://amzn.in/d/07wEWb6X
3.7v LiPo Battery,1,$3.06,https://amzn.in/d/050THvbC
TP4056 Charger Module,1,$1.20,https://amzn.in/d/01OvmiZk
DSA Keycaps gradient,1,$6.40,https://curiositycaps.in/products/21-keys-numpad-thick-pbt-cherry-pbt-keycaps
Cherry MX Keys,21,$6.30,https://stackskb.com/store/click-inc-of-linear-switch-pack-of-10/
Stainless steel screws,4,2 (Self-funded),https://stackskb.com/store/m2-screw-8mm-stainless-steel/
2u Stablizers,3,$3.45,https://stackskb.com/store/genuine-cherry-mx-plate-mount-stabilizers-2u/
Shipping,1,$2.00,https://stackskb.com
Total,,$66.91,
Total funding required,,$63.00,
